Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_QJ_C70377_1x2032,1,CR2032,C70377
C1,0805,1,4u7,C1779
"C2, C5",0805,2,100n,C49678
"C3, C4",0805,2,1n,C46653
"C6, C7, C8",0805,3,1u,C28323
"D1, D4, D5, D6",0603,4,Red,C2286
D2,0805,1,Yellow,C2296
D3,0805,1,Green,C2297
J1,SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm_Relief,1,Wires,
J2,"PhoenixContact_MCV_1,5_10-G-3.81_1x10_P3.81mm_Vertical",1,Screw_Terminal_01x10,
"J3, J5",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
Q1,SOT-23,1,AO3401A,C15127
"Q2, Q3, Q4",SOT-23,3,AO3400A,C20917
"R1, R4, R5, R6",0805,4,3k3,C26010
"R10, R11, R12, R17, R20",0805,5,100k,C149504
"R13, R16, R18, R19, R7, R8",0805,6,10k,C17414 
"R14, R22",0805,2,100R,C17408
R15,0603,1,270R,C22966
"R2, R21",0805,2,1k,C17513
R3,0805,1,5k6,C4382
R9,1206,1,0R1,C25334
"SW1, SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm_C2837532,2,SW_Push,C2837532
U1,SOT-23-6_Handsoldering,1,ADS1100,C23361
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC4051,C9386
U3,SOT-23-3,1,XC6206PxxxMR,C5446
U4,SOT-23,1,TL431DBZ,C3113
U5,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C9866
