Designator,Mid X,Mid Y,Rotation,Layer
A1,63.3925,-102.87,0.0,top
BT1,24.13,-67.31,90.0,top
C1,43.18,-123.825,0.0,top
C2,43.18,-121.285,0.0,top
C3,36.83,-117.475,90.0,top
C4,39.37,-117.475,90.0,top
C5,33.02,-122.555,270.0,top
C6,5.08,-81.28,180.0,top
C7,5.08,-88.9,180.0,top
C8,11.742079,-113.665,0.0,top
D1,53.34,-52.07,180.0,top
D2,53.34,-57.15,180.0,top
D3,53.34,-62.23,180.0,top
D4,73.66,-132.08,180.0,top
D5,73.66,-137.16,180.0,top
D6,73.66,-142.24,180.0,top
D7,12.7,-75.565,90.0,top
D8,5.08,-105.41,270.0,top
J2,27.2875,-104.7675,0.0,top
J5,17.78,-116.83,0.0,top
Q1,10.16,-82.55,0.0,top
Q2,10.16,-96.52,180.0,top
Q3,10.16,-86.36,0.0,top
Q4,10.16,-90.17,0.0,top
R1,49.53,-52.07,0.0,top
R10,4.7475,-94.93,180.0,top
R11,13.97,-82.55,270.0,top
R12,8.89,-78.74,180.0,top
R13,5.08,-78.74,180.0,top
R14,4.7475,-92.39,0.0,top
R15,7.297079,-113.03,0.0,top
R16,7.297079,-115.57,0.0,top
R17,7.297079,-118.11,180.0,top
R18,31.75,-90.17,180.0,top
R19,31.75,-87.63,180.0,top
R2,49.53,-57.15,0.0,top
R20,10.16,-93.345,0.0,top
R21,31.75,-83.82,180.0,top
R22,31.75,-93.98,180.0,top
R23,5.08,-109.22,90.0,top
R24,46.99,-133.985,180.0,top
R25,46.99,-135.89,180.0,top
R26,46.99,-137.795,180.0,top
R27,46.99,-139.7,180.0,top
R28,46.99,-141.605,180.0,top
R29,46.99,-143.51,180.0,top
R3,49.53,-62.23,0.0,top
R30,46.99,-145.415,180.0,top
R31,46.99,-147.32,180.0,top
R32,46.99,-149.225,180.0,top
R4,69.85,-132.08,0.0,top
R5,69.85,-137.16,0.0,top
R6,69.85,-142.24,0.0,top
R7,44.45,-117.475,90.0,top
R8,41.91,-117.475,90.0,top
R9,4.7475,-97.47,180.0,top
SW1,40.64,-76.2,0.0,top
SW2,40.64,-90.17,0.0,top
U1,38.1,-121.285,180.0,top
U2,26.67,-119.38,180.0,top
U3,5.08,-85.09,180.0,top
U4,11.742079,-116.84,180.0,top
U5,22.86,-92.71,270.0,top
